# Creator seed list.  slug | name | aliases (; separated) | demote y/n | note
#
#   python tools/wsdc_sync.py seed        creates a record per row, never clobbering one
#
# No WSDC ids here on purpose. An id enters the database only through
# `wsdc_sync.py confirm <slug> <id>`, which shows you the registry name and best
# competition before binding it, and stores that evidence in the creator file. A wrong id
# is invisible — nothing looks broken, and every video that creator appears in inherits
# the wrong authority — so it is worth the hour of confirming sixty of them by hand.
#
# WSDC records are per dancer, not per partnership, so a couple is two rows.
#
# NAMES I AM NOT SURE OF are marked "CHECK" in the note column. I have deliberately not
# guessed surnames: confirming an id against the wrong person is the exact failure this
# whole design exists to prevent. Correct them here, or at confirm time when the registry
# shows you the real name.

ben-morris|Ben Morris|||
jordan-frisbee|Jordan Frisbee|Jordan||
tatiana-mollmann|Tatiana Mollmann|Tatiana||

# The three partnerships you named, resolved against the workshop archive by
# tools/import_creators.py. The archive pairs them consistently, which is the evidence:
#
#   "Nicole & Thibault"  -> Thibault & Nicole      12 workshops
#   "Cl'Evi"             -> Clem & Evi              5 workshops
#   "J'Em"               -> Jakub & Emeline        15 workshops
#
# J'Em was a guess of mine before this; the archive settled it. Surnames are still open,
# and the confirm step will show you the registry name for each.
thibault|Thibault|||CHECK surname
nicole|Nicole|||CHECK surname
clem|Clem|Clement||CHECK surname, and whether Clem or Clement
evi|Evi|||CHECK surname
maxime|Maxime|||CHECK surname
torri-smith|Torri Smith|Torri||

# 129 more creator records now come from the archive via tools/import_creators.py.
# This file is only for people that tool cannot infer, and for the demotion below.

# Not a dancer, so competition points cannot express it. Demotion is a sort tier: this
# still appears in search and still surfaces when it is the only coverage of a concept,
# but always after everything non-demoted.
westcoastswingonline|West Coast Swing Online|WCSOnline; WCS Online|y|Production brand, not a competing dancer

# Teachers appearing in material added after the first ingest. Surnames from the channel
# names and video titles that introduced them, which is evidence, not inference.
marina-motronenko|Marina Motronenko|Marina||
myles|Myles|||CHECK surname - teaches with Tessa
tessa|Tessa|||CHECK surname - teaches with Myles
